Number Of Species,Group,Genus,Biggest Threat,Prey,Location,Skin Type,Gestation Period,Kingdom,Age Of Weaning,Scientific Name,header_name,Diet,Top Speed,Estimated Population Size,Average Litter Size,Size (L),Other Name(s),Class,Lifestyle,Age Of Sexual Maturity,Colour,Name Of Young,Life Span,Predators,Fun Fact,Common Name,Order,Group Behaviour,Family,Habitat,Conservation Status,Most Distinctive Feature,Weight,Phylum
,,Phalanger,,,,Fur,,Animalia,,Phalanger Maculatus,Cuscus,Herbivore,25km/h (15mph),,2,15cm - 60cm (6in - 24in),,Mammalia,Solitary,,"Black, Brown, Tan, White, Cream, Grey",,8 - 12 years,"Snakes, Humans, Large birds of prey",,,Marsupialia,,Phalangeridae,Tropical rainforest and mangroves,Threatened,,3kg - 6kg (6.5lbs - 13lbs),Chordata
,,Gorilla,,,,Hair,,Animalia,,Gorilla Gorilla Diehli,Cross River Gorilla,Herbivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Grey",,35 - 50 years,"Human, Leopard, Crocodile",,,Primates,,Hominidae,Rainforest and dense jungle,Critically Endangered,,100kg - 200kg (220lbs - 440lbs),Chordata
,,Crocodylus,,,,Scales,,Animalia,,Crocodylus,Crocodile,Carnivore,18km/h (12mph),,2,1m - 7m (3.3ft - 22ft),,Reptilia,Solitary,,"Brown, Green, Grey",,40 - 70 years,Human,,,Crocodilia,,Crocodylidae,"Warm, quiet and murky water",Threatened,,"1,000kg - 1,133kg (2,200lbs - 2,500lbs)",Chordata
,,Eudyptes,,,,Feathers,,Animalia,,Eudyptes robustus,Crested Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey, Yellow",,15 - 20 years,"Leopard Seal, Killer Whale, Sharks",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Vulnerable,,3kg - 6kg (6.6lbs - 13lbs),Chordata
,,,,,,Feathers,,Animalia,,Gruidae,Crane,Omnivore,40km/h (25mph),,,1m - 1.4m (40in - 55in),,Aves,Flock,,"White, Black, Grey, Brown, Red, Blue",,15 - 30 years,"Fox, Eagle, Wildcats",,,Gruiformes,,Gruidae,Temperate wetlands,Threatened,,3.7kg - 10kg (8.2lbs - 22lbs),Chordata
,,Macaca,,,,Fur,,Animalia,,Macaca Fascicularis,Crab-Eating Macaque,Carnivore,48km/h (30mph),,1,,,Mammalia,Troop,,"Grey, Brown, White, Yellow",,15 - 30 years,"Eagle, Tiger, Large reptiles",,,Primates,,Cercopithecidae,Rainforest and tropical jungle,Least Concern,,3kg - 9kg (7lbs - 20lbs),Chordata
,,,,,,Shell,,Animalia,,Brachyura,Crab,Carnivore,19km/h (12mph),,2,1cm - 400cm (0.4in - 157in),,Crustacea,Solitary,,"Red, Brown, Orange, Blue",,1 - 100 years,"Birds, Otter, Octopus",,,Decapoda,,Brachyura,Coral reefs and coastline,Threatened,,"100g - 2,000g (3.5oz - 704oz)",Arthropoda
,,Canis,,,,Fur,,Animalia,,Canis latrans,Coyote,Carnivore,64km/h (40mph),,6,75cm - 90cm (30in - 35in),,Mammalia,Pack,,"Brown, Grey, Tan",,10 - 15 years,"Human, Bears, Wolves",,,Carnivora,,Canidae,"Forests, plains and deserts",Least Concern,,7kg - 21kg (15lbs - 46lbs) ,Chordata
,,Bos,,,,Leather,,Animalia,,Bos Taurus,Cow,Herbivore,40km/h (25mph),,1,1.5m - 1.8m (5ft - 6ft),,Mammalia,Herd,,"Brown, Black, White",,12 - 20 years,"Human, Bears, Wolves",,,Artiodactyla,,Bovidae,Forest and grassland,Threatened,,"400kg - 800kg (881lbs - 1,760lbs)",Chordata
,,Saguinus,,,,Fur,,Animalia,,Saguinus Oedipus,Cottontop Tamarin,Omnivore,40km/h (24mph),,2,18cm - 30cm (7in - 12in),,Mammalia,Troop,,"Black, White, Brown, Tan",,8 - 15 years,"Hawks, Snakes, Wild Cats",,,Primates,,Callitrichidae,Lowland tropical forest,Critically Endangered,,220g - 900g (7.7oz - 32oz),Chordata
,,Puma,,,,Fur,,Animalia,,Felis Concolor,Cougar,Carnivore,45km/h (30mph),,3,1.5m - 2.75m (5ft - 9ft),,Mammalia,Solitary,,"Tan, Black, Brown",,10 - 20 years,"Human, Grizzly Bear",,,Carnivora,,Felidae,Forest and mountainous regions,Least Concern,,29kg - 90kg (64lbs - 198lbs),Chordata
,,,,,,Porous,,Animalia,,Anthozoa,Coral,,,,"1,000s",,,Anthozoa,,,Multi-coloured,,,"Starfish, Marine slugs and snails",,Coral,Octocorallia,,Alcyonacea,Forest and thick woodland,Threatened,,,Cnidaria
,,Bufo,,,,Permeable,,Animalia,,Bufo Bufo,Common Toad,Carnivore,8km/h (5mph),,,10cm - 18cm (4in - 7in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow",,2 - 4 years,"Foxes, Grass Snakes, Hedgehogs",,,Anura,,Bufonidae,"Forests, woodlands and marshes",Least Concern,,20g - 80g (0.7oz - 2.8oz),Chordata
,,Gavia,,,,Feathers,,Animalia,,Gavia Immer,Common Loon,Omnivore,,,,63cm - 81cm (24.8in - 31.8in),,Aves,Flock,,"White, Black, Grey, Brown",,15 - 25 years,"Human, Eagles, Osprey",,,Gaviiformes,,Gaviidae,Freshwater lakes in cooler climates,Least Concern,,3kg - 5kg (6.6lbs - 11lbs),Chordata
,,Rana,,,,Permeable,,Animalia,,Rana Temporaria,Common Frog,Carnivore,8km/h (5mph),,,6cm - 10cm (2.4in - 4in),,Amphibia,Solitary,,"Black, Green, Grey, Brown",,5 - 10 years,"Foxes, Snakes, Birds",,,Anura,,Ranidae,"Forests, rivers and marshes",Least Concern,,20g - 80g (0.7oz - 2.8oz),Chordata
,,Buteo,,,,Feathers,,Animalia,,Buteo Buteo,Common Buzzard,Carnivore,40km/h (25mph),,,51cm - 57cm (20in - 22in),,Aves,Solitary,,"White, Black, Grey, Brown",,12 - 20 years,"Fox, Eagle, Wildcats",,,Accipitriformes,,Accipitridae,Countryside and woodland,Least Concern,,400g - 1400g (15oz - 48oz),Chordata
,,Pecari,,,,Bristled hairs,,Animalia,,Pecari tajacu,Collared Peccary,Omnivore,Unknown,,3,,,Mammalia,Bands of 6-12,,Dark Grey,,10 years,"Coyotes, Mountain Lions and Jaguars",,,Atriodactyla,,Tayassuidae,Deserts and Tropical Rainforests,Least Concern,,9kg - 27kg (20lbs- 60lbs),Chordata
,,,,,,Shell,,Animalia,,Blattaria,Cockroach,Omnivore,,,40,,,Insecta,,,"Brown, Black, Tan",,,"Spiders, Birds, Mammals",,Cockroach,Blattaria,,,Anywhere and everywhere,Least Concern,,,Arthropoda
,,Nasua ,,,,Fur,,Animalia,,Nasua Nasua,Coati,Omnivore,24km/h (15mph),,4,,,Mammalia,Band,,"Black, Brown, White, Grey, Red, Tan",,8-15 years,"Wildcats, Birds of Prey, Crocodiles",,,Carnivora,,Procyonidae,"Forests, grasslands, desert",Least Concern,,3-8kg (6-18lbs),Chordata
,,Amphiprion,,,,Scales,,Animalia,,Amphiprioninae,Clown Fish,Omnivore,,,,10cm - 18cm (4in - 7in),,Actinopterygii,,,"Black, White, Orange, Red, Yellow",,4 - 8 years,"Fish, Eels, Sharks",,Clown Fish,Perciformes,,Pomacentridae,Tropical coral reefs,Least Concern,,,Chordata
2,Mammal,Neofelis,Hunting and habitat loss,"Rodents, Monkeys, Deer",South-east Asia,Fur,87 - 102 days,Animalia,9 months,Neofelis nebulosa,Clouded Leopard,Carnivore,64kph (40mph),"Less than 10,000",3,60cm - 110cm (24in - 43in),Sunda Clouded Leopard,Mammalia,Nocturnal/Crepuscular,2 - 3 years,"Yellow, Grey, Tawny, Black, Brown",Kitten,11 - 17 years,"Tigers, Leopards, Humans",Has canines that can be two inches long!,Clouded Leopard,Carnivora,Solitary,Felidae,Dense tropical forest and jungle,Vulnerable,Dark cloud-like markings and long tail,11kg - 30kg (24lbs - 66lbs),Chordata
,,,,,,Scales,,Animalia,,Cichlidae,Cichlid,Omnivore,,,,2.5cm - 1m (0.9in - 3ft),,Actinopterygii,,,"Black, White, Yellow, Orange, Silver, Blue, Green, Red",,5 - 60 years,"Fish, Eels, Sharks",,Cichlid,Perciformes,,Cichlidae,African Great Lakes,Least Concern,,,Chordata
,,Tamias,,,,Fur,,Animalia,,Tamias Striatus,Chipmunk,Omnivore,33km/h (21mph),,5,,,Mammalia,Solitary,,"Beige, Brown, Black, Yellow",,4 - 8 years,"Human, Hawks, Raccoon",,,Rodentia,,Sciuridae,Forest and thick woodland,Least Concern,,57g - 113g (2oz - 4oz),Chordata
,,Pygoscelis,,,,Feathers,,Animalia,,Pygoscelis Antarcticus,Chinstrap Penguin,Carnivore,,,2,,,Aves,Colony,,"Black, White, Grey",,15 - 20 years,"Leopard Seal, Killer Whale, Sea Birds",,,Sphenisciformes,,Spheniscidae,Rocky Antarctic Islands,Least Concern,,3kg - 6kg (6.6lbs - 13lbs),Chordata
2,Mammal,Pan,Habitat loss,"Fruits, Seeds, Insects",Western and Central Africa,Hair,8 months,Animalia,5 - 6 years,Pan troglodytes,Chimpanzee,Omnivore,40kph (25mph),"100,000 - 200,000",1,,Common Chimpanzee,Mammalia,Diurnal,13 - 16 years,"Black, Brown",Infant,50 - 60 years,"Leopards, Snakes, Humans",Has 32 teeth including fang-like canines!,Chimpanzee,Primates,Group,Hominidae,Tropical forest and woody savanna,Endangered,Dexterous hands and feet and complex communication,26kg - 70kg (57lbs - 154lbs),Chordata
,,Chinchilla,,,,Fur,,Animalia,,Chinchilla Lanigera,Chinchilla,Herbivore,24km/h (15mph),,3,25cm - 35cm (10in - 14in),,Mammalia,Solitary,,"Beige, Brown, Grey",,10 - 18 years,"Owls, Fox, Cougars",,,Rodentia,,Chinchillidae,Dry and mountainous regions,Endangered,,400g - 500g (14oz - 18oz),Chordata
,,Gallus,,,,Feathers,,Animalia,,Gallus Gallus,Chicken,Omnivore,10km/h (6mph),,,30cm - 45cm (11.8in - 17.7in),,Aves,Flock,,"Red, Black, Brown, White, Yellow, Orange",,2 - 4 years,"Human, Fox, Raccoon",,,Galliformes,,Phasianidae,Open woodland and sheltered grassland,Threatened,,1kg - 3kg (2.2lbs - 6.6lbs),Chordata
5,Mammal,Acinonyx,Habitat loss,"Gazelle, Wildebeest, Hare",Asia and Africa,Fur,90 days,Animalia,3 months,Acinonyx jubatus,Cheetah,Carnivore,112kph (70mph),"8,500",3,,,Mammalia,Diurnal,20 - 24 months,"Yellow, Tan, Brown, Black",Cub,10 - 12 years,"Human, Lion, Eagle",The fastest land mammal in the world!,Cheetah,Carnivora,Solitary/Pairs,Felidae,Open grassland,Vulnerable,Yellowish fur covered in small black spots,40kg - 65kg (88lbs - 140lbs),Chordata
,,Rupicapra,,,,Fur,,Animalia,,Rupicapra Rupicapra,Chamois,Herbivore,17km/h (10mph),,1,,,Mammalia,Herd,,"Brown, Grey, Black, Tan, White",,18 - 22 years,"Human, Wolf, Wildcats",,,Artiodactyla,,Bovidae,Mountainous and rocky terrain,Least Concern,,50kg - 55kg (110lbs - 121lbs),Chordata
,,,,,,Scales,,Animalia,,Chamaeleonidae,Chameleon,Omnivore,35km/h (21mph),,,2.8cm - 68.5cm (1.1in - 27in),,Reptilia,Solitary,,"Green, Brown, Black, Yellow, Red, Tan",,4 - 8 years,"Snakes, Birds, Mammals",,,Squamata,,Chamaeleonidae,Tropical forests and desert,Threatened,,0.01kg - 2kg (0.02lbs - 4.4lbs),Chordata
,,,,,,Shell,,Animalia,,Chilopoda,Centipede,Carnivore,,,60,,,Myriapoda,,,"Yellow, Black, Orange, Red, White. Brown",,,"Birds, Toads, Small mammals",,Centipede,Chilopoda,,,Decomposing matter on forest floor,Least Concern,,,Arthropoda
,,,,,,Scales,,Animalia,,Siluriformes,Catfish,Carnivore,,,,1cm - 270cm (0.4in - 106in),,Osteichthyes,,,"Brown, Black, Yellow, White, Tan, Grey",,8 - 20 years,"Large Fish, Birds, Mammals, Reptiles",,,Siluriformes,,,Fast-flowing rivers and lakes,Threatened,,,Chordata
,,,,,,Hair,,Animalia,,Larva,Caterpillar,Herbivore,,,0,,,Insecta,,,"Yellow, Black, Orange, Red, Green, Blue, White. Brown",,,"Birds, Wasps, Mammals",,Caterpillar,Lepidoptera,,,Quiet forests and pastures,Least Concern,,,Arthropoda
,,Casuarius,,,,Feathers,,Animalia,,Casuarius,Cassowary,Omnivore,50km/h (31mph),,,,,Aves,Solitary,,"Blue, Yellow, Black, Tan",,40 - 60 years,"Dingo, Crocodile, Humans",,,Casuariiformes,,Casuariidae,Wet tropical forests,Vulnerable,,25kg - 58.5kg (55lbs - 129lbs),Chordata
,,Caracal,,,,Fur,,Animalia,,Caracal Caracal,Caracal,Carnivore,80km/h (50mph),,3,,,Mammalia,Solitary,,"Tan, Brown, Black",,12 - 15 years,"Human, Hyena, Lions",,,Carnivora,,Felidae,Dry woodland and savannah,Least Concern,,11kg - 18kg (24lbs - 40lbs),Chordata
2,Mammal,Hydrochoerus,Hunting and habitat loss,"Grasses, Aquatic Plants, Bark",Central and South America,Fur,150 days,Animalia,16 weeks,Hydrochoerus hydrochaeris,Capybara,Herbivore,35kph (22mph),Stable,5,100cm - 130cm (39in - 51in),Water Hog,Mammalia,Nocturnal/Crepuscular,17 - 19 months,"Brown, Yellow, Red, Grey",Pup,8 - 10 years,"Jaguar, Caiman, Harpy Eagle",Excellent at both diving and swimming!,Capybara,Rodentia,Herd,Caviidae,Dense vegetation close to freshwater,Least Concern,"Eyes, ears and nostrils on top of the head!",30kg - 70kg (66lbs - 154lbs),Chordata
1,Mammal,Camelus,Drought,"Thorny and Salty Plants, Grass, Grain",Throughout the Middle East,Hair,390 - 410 days,Animalia,4 months,Camelus dromedarius,Camel,Herbivore,64kph (40mph),20 million,1,2.2m - 3.5m (7.25ft - 11.5ft),"Dromedary Camel, Arabian Camel, One-Humped Camel",Mammalia,Diurnal,3 - 5 years,"Cream, Tan, Brown, Black",Calf,40 - 50 years,"Lions, Leopards, Humans",Can survive without water for 10 months!,Camel,Artiodactyla,Herd,Camelidae,Arid desert and scrubland,Common,"Long, curved neck and large hump","300kg - 690kg (660lbs - 1,500lbs)",Chordata
,,Dracaena,,,,Scales,,Animalia,,Dracaena Guianensis,Caiman Lizard,Carnivore,16km/h (10mph),,,60cm - 121cm (2ft - 4ft),,Reptilia,Solitary,,"Black, Brown, Tan, Yellow, Grey",,10 - 30 years,"Jaguar, Large Snakes, Humans",,,Squamata,,Teiidae,Rainforest and swampland,Least Concern,,1.4kg - 2.7kg (3lbs - 6lbs),Chordata
,,Caimaninae,,,,Scales,,Animalia,,Caimaninae,Caiman,Carnivore,48km/h (30mph),,,1.1m - 5m (43in - 197in),,Reptilia,Solitary,,"Green, Brown, Black, Grey",,30 - 40 years,"Humans, Jaguars",,,Crocodilia,,Alligatoridae,"Mangroves, marshes and swamps",Threatened,,"100kg - 500kg (220lbs - 1,102lbs)",Chordata
,,,,,,Scales,,Animalia,,Chaetodontidae,Butterfly Fish,Omnivore,,,,7cm - 15cm (3in - 6in),,Actinopterygii,,,"Black, White, Yellow, Orange, Silver",,6 - 12 years,"Fish, Eels, Sharks",,Butterfly fish,Perciformes,,Chaetodontidae,Tropical coral reefs,Endangered,,,Chordata
,,,,,,Hair,,Animalia,,Papilionoidea,Butterfly,Herbivore,,,100,,,Insecta,,,"Yellow, Black, Orange, Red, Green, Blue, White",,,"Bats, Frogs, Small mammals and reptiles",,Butterfly,Lepidoptera,,,Quiet forests and pastures,Least Concern,,,Arthropoda
,,Heleioporus,,,,Permeable,,Animalia,,Heleioporus,Burrowing Frog,Carnivore,8km/h (5mph),,,6cm - 10cm (2.4in - 4in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow",,10 - 15 years,"Foxes, Snakes, Birds",,,Anura,,Myobatrachidae,"Forests, rivers and marshes",Least Concern,,20g - 80g (0.7oz - 2.8oz),Chordata
,,Rana,,,,Permeable,,Animalia,,Rana Catesbeiana,Bullfrog,Carnivore,17km/h (10mph),,,9cm - 15cm (3.5in - 6in),,Amphibia,Solitary,,"Black, Green, Grey, Brown, Yellow",,6 - 10 years,"Snakes, Fish, Turtles",,,Anura,,Ranidae,"Lakes, ponds, rivers and streams",Least Concern,,300g - 500g (10.5oz - 17.6oz),Chordata
,,Bombus,,,,Hair,,Animalia,,Bombus,Bumble Bee,Herbivore,,,200,,,Insecta,,,"Yellow, Black, Orange",,,"Bats, Frogs, Skunks",,Bumble Bee,Hymenoptera,,Apidae,Quiet forests and pastures,Threatened,,,Arthropoda
,,Carcharhinus,,,,Scales,,Animalia,,Carcharhinus Leucas,Bull Shark,Carnivore,40km/h (25mph),,10,2.1m - 3.5m (7ft - 11.5ft),,Chondrichthyes,Solitary,,"Blue, Grey",,16 - 25 years,"Human, Tiger sharks",,,Carcharhiniformes,,Carcharhinidae,Shallow and tropical waters,Least Concern,,90kg - 230kg (200lbs - 500lbs),Chordata
,,Syncerus,,,,Hair,,Animalia,,Syncerus Caffer,Buffalo,Herbivore,35km/h (22mph),,1,1.7m - 1.8m (67in - 71in),,Mammalia,Herd,,"Brown, Grey, Black",,15 - 22 years,"Human, Lion, Crocodile",,,Artiodactyla,,Bovidae,Woodland and grass pastures,Least Concern,,"600kg - 907kg (1,323lbs - 2,000lbs)",Chordata
,,Melopsittacus,,,,Feathers,,Animalia,,Melopsittacus Undulatus,Budgerigar,Omnivore,,,,,,Aves,Flock,,"Black, White, Grey, Green, Blue, Yellow",,3 - 6 years,"Human, Snakes, Large Birds",,,Psittaciformes,,Psittacidae,Open woodland and grassland near water,Least Concern,,30g - 40g (1oz - 1.4oz),Chordata
,,Ursus,,,,Fur,,Animalia,,Ursus Arctos,Brown Bear,Omnivore,56km/h (35mph),,3,,,Mammalia,Solitary,,"Brown, Black, Tan",,20 - 30 years,"Human, Wolf, Cougar",,,Carnivora,,Ursidae,Forest and mountainous regions,Endangered,,136kg - 390kg (300lbs - 860lbs),Chordata
,,Tursiops,,,,Smooth,,Animalia,,Tursiops Truncatus,Bottle Nosed Dolphin,Omnivore,35km/h (21mph),,1,2.5m - 4m (8ft - 13ft),,Mammalia,Pod,,"Light grey, Dark grey",,20 - 35 years,"Human, Sharks, Killer Whale",,,Cetacea,,Delphinidae,Warm harbours and bays,Least Concern,,200kg - 300kg (440lbs - 660lbs),Chordata
,,Elephas,,,,Leather,,Animalia,,Elephas Maximus Borneensis,Borneo Elephant,Herbivore,43km/h (27mph),,1,,,Mammalia,Herd,,"Grey, Brown, Black",,55 - 70 years,"Human, Tiger",,,Proboscidea,,Elephantidae,Rainforest and tropical woodland,Critically Endangered,,"3,000kg - 5,000kg (6,500lbs - 11,000lbs)",Chordata
3,Mammal,Pongo,Habitat loss,"Fruits, Bark, Insects",Borneo,Hair,9 months,Animalia,3 years,Pongo pygmaeus,Bornean Orang-utan,Omnivore,6kph (2.7mph),"13,500",1,,"Red Ape, Forest People",Mammalia,Diurnal,12 - 15 years,"Red, Orange, Brown, Grey, Black",Infant,30 - 40 years,"Human, Tiger, Clouded Leopard",Known to use large leaves as umbrellas!,Bornean Orang-utan,Primates,Solitary,Hominidae,Lowland forest and peat-swamps,Critically Endangered,Highly intelligent with very long arms,30kg - 90kg (66lbs - 200lbs),Chordata
,,Sula,,,,Feathers,,Animalia,,Sula Nebouxii,Booby,Carnivore,97km/h (60mph),,,,,Aves,Flock,,"Brown, Black, White, Grey",,12 - 17 years,"Human, Owls, Birds Of Prey",,,Pelecaniformes,,Sulidae,Subtropical and tropical islands,Least Concern,,0.9kg -1.8kg (2lbs - 3.9lbs),Chordata
,,Pan,,,,Hair,,Animalia,,Pan Paniscus,Bonobo,Omnivore,40km/h (25mph),,1,,,Mammalia,Troop,,"Black, Grey, Brown",,30 - 40 years,"Human, Large Primates, Crocodiles",,,Primates,,Hominidae,Lowland jungle and swamp forests,Endangered,,25kg - 50kg (55lbs - 110lbs),Chordata
2,Mammal,Tragelaphus,Habitat loss,"Leaves, Bark, Grasses","Western, Eastern and Central Africa",Fur,9 months,Animalia,6 months,Tragelaphus eurycerus,Bongo,Herbivore,70kph (43mph),"28,000",1,1.7m - 2.5m (5.5ft - 8.25ft),"Lowland Bongo, Mountain Bongo",Mammalia,Diurnal,20 - 24 months,"Orange, Red, Chestnut, White, Brown, Black",Calf,10 - 18 years,"Leopards, Hyenas, Lions",Long and heavy spiralled horns!,Bongo,Artiodactyla,Solitary/Herd,Bovidae,Dense forests and bamboo thickets,Near Threatened,10 - 15 white stripes on body,150kg - 220kg (330lbs - 484lbs),Chordata
12,Mammal,Lynx,Hunting and habitat loss,"Rabbits, Mice, Deer",North America,Fur,60 - 70 days,Animalia,12 weeks,Lynx rufus,Bobcat,Carnivore,55kph (34mph),"1,000,000",3,65cm - 100cm (25in - 40in),"Red Lynx, Wildcat",Mammalia,Nocturnal/Crepuscular,1 - 2 years,"Tawny, Beige, Brown, Red, Black, White",Kitten,12 - 15 years,"Cougar, Wolves, Coyotes",About double the size of a domestic cat!,Bobcat,Carnivora,Solitary,Felidae,"Mountainous forest, swamp, desert",Least Concern,Short ear tufts and bobbed tail,4.1kg - 15.3g (9lbs - 33lbs),Chordata
3,Mammal,Balaenoptera,Climate change,"Krill, Crustaceans, Small Fish",Oceans worldwide,Smooth,11 -12 months,Animalia,8 months,Balsenoptera musculus,Blue Whale,Carnivore,20kph (13mph),"Less than 20,000",1,25m - 30m (82.5ft - 100ft),"Northern, Southern, Pygmy",Mammalia,Diurnal,10- 15 years,"Grey, Blue, White, Black",Calf,30 - 45 years,"Humans, Killer Whale pods",The largest animal on Earth!,Blue Whale,Cetacea,Solitary,Balaenopteridae,Polar and subtropical waters,Endangered,Pleats on neck and two blow-holes,"100tonnes - 160tonnes (220,000lbs - 352,000lbs)",Chordata
,,Latrodectus,,,,Shell,,Animalia,,Latrodectus,Black Widow Spider,Carnivore,,,250,,,Arachnida,,,"Brown, Black, Red, Yellow",,,"Wasp, Birds, Small mammals",,Black Widow Spider,Araneae,,Theridiidae,"Urban, temperate forest and woodland",Least Concern,,,Arthropoda
,,Diceros,,,,Leather,,Animalia,,Diceros Bicornis,Black Rhinoceros,Herbivore,42km/h (30mph),,1,,,Mammalia,Solitary,,"Brown, Grey, White",,45-50 years,"Human, Wild cats",,,Perissodactyla,,Rhinocerotidae,"Tropical bushland, grassland and savannas",Critically Endangered,,"800kg - 1,400kg (1,800lbs - 3,100lbs)",Chordata
16,Mammal,Ursus,Local hunting and habitat loss,"Fruits, Nuts, Rodents",North America,Fur,220 days,Animalia,6 - 8 months,Ursus americanus,Black Bear,Omnivore,48kph (30mph),"800,000",3,,American Black Bear,Mammalia,Nocturnal,4 - 6 years,"Black, Dark Brown, Tan",Cub,15 - 30 years,"Grizzly Bear, Fox, Birds of Prey",Short claws make them good tree climbers!,Black Bear,Carnivora,Solitary,Ursidae,Forest and woodland,Least Concern,"Thick fur and long, pointed snout",100kg - 270kg (220lbs - 594lbs),Chordata
,,Bison,,,,Hair,,Animalia,,Bison Bison,Bison,Herbivore,35km/h (22mph),,1,2m - 2.7m (6.6ft - 9ft),,Mammalia,Herd,,"Brown, Tan",,15 - 20 years,"Human, Bear, Wolves",,,Artiodactyla,,Bovidae,Grass plains and forest,Threatened,,"1,000kg - 1,300kg (2,200lbs - 2,500lbs)",Chordata
,,,,,,Feathers,,Animalia,,Paradisaeidae,Birds Of Paradise,Omnivore,,,,,,Aves,Solitary,,"Black, White, Grey, Green, Brown, Blue, Yellow, Red",,5 - 8 years,"Human, Snakes, Large Birds",,,Passeriformes,,Paradisaeidae,Tropical forest tree tops,Least Concern,,50g - 430g (1.8oz - 15.2oz),Chordata
9,Mammal,Arctictis,Habitat loss and capture,"Fruit, Insects, Birds",Throughout South-East Asia,Fur,92 days,Animalia,6 - 8 weeks,Arctictis binturong,Binturong,Omnivore,24kph (15mph),Declining,2,60cm - 96cm (24in - 38in),"Bearcat, Asian Bearcat, Asian Civet",Mammalia,Nocturnal/Crepuscular,2 - 3 years,"Black, Brown, Grey",Cub,10 - 25 years,"Human, Tigers, Snakes",Also known as the Asian Bearcat!,Binturong,Carnivora,Solitary,Viverridae,"Dense, moist tropical forest",Vulnerable,Long prehensile tail and sharp claws,10kg - 14kg (22lbs - 31lbs),Chordata
,,Panthera,,,,Fur,,Animalia,,Panthera Tigris Tigris,Bengal Tiger,Carnivore,96km/h (60mph),,3,2.4m - 3.3m (6.8ft - 11ft),,Mammalia,Solitary,,"Orange, Black, White",,18 - 25 years,Human,,,Carnivora,,Felidae,Dense tropical forest and mangroves,Endangered,,140kg - 300kg (309lbs - 660lbs),Chordata
,,,,,,Shell,,Animalia,,Coleoptera,Beetle,Omnivore,,,200,,,Insecta,,,"Brown, Black, Red, Yellow, Green, Blue",,,"Bats, Frogs, Reptiles",,Beetle,Endopterygota,,Coleoptera,Most land and freshwater habitats,Least Concern,,,Arthropoda
,,Castor,,,,Fur,,Animalia,,Castor Canadensis,Beaver,Herbivore,55km/h (34mph),,4,80cm - 120cm (31in - 47in),,Mammalia,Solitary,,"Brown, Grey",,15 - 20 years,"Wolf, Bear, Lynx",,,Rodentia,,Castoridae,Arid forest and desert,Threatened,,16kg - 27kg (35lbs - 60lbs) ,Chordata
,,Pogona,,,,Scales,,Animalia,,Pogona Vitticeps,Bearded Dragon,Omnivore,40km/h (25mph),,15,50cm - 61cm (20in - 24in),,Reptilia,Solitary,,"Green,Yellow, Brown, Grey",,6 - 15 years,"Birds, Snakes, Crocodiles",,,Squamata,,Agamidae,Arid forest and desert,Least Concern,,250g - 510g (9oz - 18oz),Chordata
,,Ursus,,,,Fur,,Animalia,,Ursidae,Bear,Omnivore,56km/h (35mph),,2,,,Mammalia,Solitary,,"Black, brown, white",,15 - 35 years,"Human, Wolf, Wildcats",,,Carnivora,,Ursidae,Forest and mountainous regions,Endangered,,27kg - 450kg (60lbs - 990lbs),Chordata
,,Emballonuridae,,,,Fur,,Animalia,,Chiroptera,Bat,Omnivore,40km/h (25mph),,1,3cm - 180cm (1.2in - 71in),,Mammalia,Pack,,"Brown, Black, Grey",,10 - 30 years,"Owls, Eagles, Snakes",,,Chiroptera,,Microchiroptera ,Woodland and caves,Least Concern,,"2g - 1,000g (0.07oz - 35oz)",Chordata
,,Cetorhinus,,,,Smooth,,Animalia,,Cetorhinus Maximus,Basking Shark,Carnivore,,,,6m - 12m (20ft - 39ft),,Chondrichthyes,,,"Grey, Black, Brown",,20 - 100 years,"Sharks, Humans, Killer Whales",,Basking Shark,Lamniformes,,Cetorhinidae,Temperate waters along continental shelves,Threatened,,,Chordata
,,Sphyraena,,,,Smooth,,Animalia,,Sphyraena,Barracuda,Carnivore,,,,0.5m - 2m (20in - 79in),,Actinopterygii,,,"Grey, Blue, Black, Brown",,10 - 15 years,"Sharks, Humans, Killer Whales",,Barracuda,Perciformes,,Sphyraenidae,Coastal lagoons and coral reefs,Least Concern,,,Chordata
,,Cirripedia,,,,Shell,,Animalia,,Cirripedia,Barnacle,Omnivore,,,,1cm - 7cm (0.4in - 2.7in),,Crustacea,,,"Black, White, Yellow, Cream",,8 - 20 years,"Fish, Crabs, Humans",,Barnacle,Maxillopoda,,Thecostraca,Shallow marine environments,Least Concern,,,Arthropoda
,,Tyto,,,,Feathers,,Animalia,,Tyto Alba,Barn Owl,Carnivore,80km/h (50mph),,,,,Aves,Solitary,,"Black, White, Grey, Orange, Brown",,5 - 10 years,"Fox, Raccoon, Wild dogs",,,Strigiformes,,Tytonidae,Open plains and low-lying woodland,Least Concern,,300g - 550g (10oz - 19.4oz),Chordata
